College,Year,Category,Major,Score
清华大学,2020,理科,理科试验班类（新雅书院）,709
清华大学,2020,理科,临床医学类（医学实验班）,709
清华大学,2020,理科,理科试验班类（数理）,707
清华大学,2020,理科,计算机类,706
清华大学,2020,理科,临床医学类（协和）,706
清华大学,2020,理科,工科试验班类（能源与电气）,705
清华大学,2020,理科,工科试验班类（环境、化工与新材料）,705
清华大学,2020,理科,理科试验班类（经济、金融与管理）,705
清华大学,2020,理科,自动化类,705
清华大学,2020,文科,文科试验班类（经济、金融与管理）,672
清华大学,2020,文科,文科试验班类（新雅书院）,669
北京大学,2020,理科,工商管理类,709
北京大学,2020,理科,理科试验班类,708
北京大学,2020,理科,数学类,706
北京大学,2020,理科,法学,705
北京大学,2020,理科,计算机类,705
北京大学,2020,理科,物理学类,704
北京大学,2020,理科,化学类,704
北京大学,2020,理科,工科试验班类,703
北京大学,2020,理科,经济学类,703
北京大学,2020,理科,电子信息类,703
北京大学,2020,文科,人文科学试验班,679
北京大学,2020,文科,工商管理类,674
北京大学,2020,文科,文科试验班类,671
北京大学,2020,文科,经济学类,670
北京大学,2020,文科,城乡规划,667
北京大学,2020,文科,法学,666
北京大学,2020,文科,公共管理类,666
北京大学,2020,文科,中国语言文学类,665
北京大学,2020,文科,新闻传播学类,665
北京大学,2020,文科,国际政治（国政、外交学、国际政经）,663
北京交通大学,2020,理科,交通运输类,650
北京交通大学,2020,理科,土木类(智慧建造与智能工程),644
北京交通大学,2020,理科,外国语言文学类,645
北京交通大学,2020,理科,建筑类,646
北京交通大学,2020,理科,新闻传播学类,650
北京交通大学,2020,理科,机械类(智能制造与智能装备),644
北京交通大学,2020,理科,法学,647
北京交通大学,2020,理科,理科试验班类,649
北京交通大学,2020,理科,电子信息类(通信与控制),652
北京交通大学,2020,理科,电气工程及其自动化(新能源国际班),651
北京交通大学,2020,理科,电气类,648
北京交通大学,2020,理科,经济管理试验班,647
北京交通大学,2020,理科,计算机类,657
北京交通大学,2020,理科,软件工程,651
北京交通大学,2020,文科,外国语言文学类,620
北京交通大学,2020,文科,新闻传播学类,629
北京交通大学,2020,文科,法学,624
北京交通大学,2020,文科,经济管理试验班,628
石河子大学,2020,理科,阿拉伯语,588
石河子大学,2020,理科,材料科学与工程,591
石河子大学,2020,理科,地理科学,585
石河子大学,2020,理科,电气工程及其自动化,601
石河子大学,2020,理科,电子信息工程,596
石河子大学,2020,理科,动物科学,586
石河子大学,2020,理科,动物医学,585
