,c2name,mjcode
0,哲学,0101
1,理论经济学,0201
2,应用经济学,0202
3,法学,0301
4,政治学,0302
5,社会学,0303
6,民族学,0304
7,马克思主义理论,0305
8,教育学,0401
9,心理学,0402
10,体育学,0403
11,中国语言文学,0501
12,外国语言文学,0502
13,新闻传播学,0503
14,考古学,0601
15,中国史,0602
16,世界史,0603
17,数学,0701
18,物理学,0702
19,化学,0703
20,天文学,0704
21,地理学,0705
22,大气科学,0706
23,海洋科学,0707
24,地球物理学,0708
25,地质学,0709
26,生物学,0710
27,系统科学,0711
28,科学技术史,0712
29,生态学,0713
30,统计学,0714
31,力学,0801
32,机械工程,0802
33,光学工程,0803
34,仪器科学与技术,0804
35,材料科学与工程,0805
36,冶金工程,0806
37,动力工程及工程热物理,0807
38,电气工程,0808
39,电子科学与技术,0809
40,信息与通信工程,0810
41,控制科学与工程,0811
42,计算机科学与技术,0812
43,建筑学,0813
44,土木工程,0814
45,水利工程,0815
46,测绘科学与技术,0816
47,化学工程与技术,0817
48,地质资源与地质工程,0818
49,矿业工程,0819
50,石油与天然气工程,0820
51,纺织科学与工程,0821
52,轻工技术与工程,0822
53,交通运输工程,0823
54,船舶与海洋工程,0824
55,航空宇航科学与技术,0825
56,兵器科学与技术,0826
57,核科学与技术,0827
58,农业工程,0828
59,林业工程,0829
60,环境科学与工程,0830
61,生物医学工程,0831
62,食品科学与工程,0832
63,城乡规划学,0833
64,风景园林学,0834
65,软件工程,0835
66,安全科学与工程,0837
67,作物学,0901
68,园艺学,0902
69,农业资源与环境,0903
70,植物保护,0904
71,畜牧学,0905
72,兽医学,0906
73,林学,0907
74,水产,0908
75,草学,0909
76,基础医学,1001
77,临床医学,1002
78,口腔医学,1003
79,公共卫生与预防医学,1004
80,中医学,1005
81,中西医结合,1006
82,药学,1007
83,中药学,1008
84,护理学,1011
85,管理科学与工程,1201
86,工商管理,1202
87,农林经济管理,1203
88,公共管理,1204
89,图书情报与档案管理,1205
90,艺术学理论,1301
91,音乐与舞蹈学,1302
92,戏剧与影视学,1303
93,美术学,1304
94,设计学,1305
