college,year,category,major,score
10593,2020,理科,计算机类,622
10593,2020,理科,数学类,621
10593,2020,理科,机械类,621
10593,2020,理科,土木工程,620
10593,2020,理科,经济学类,620
10593,2020,理科,材料类,619
10593,2020,理科,工商管理类,619
10593,2020,理科,化学工程与工艺,618
10593,2020,理科,矿物资源工程,618
10593,2020,理科,轻工类,618
10593,2020,理科,建筑学,618
10593,2020,文科,法学,601
10593,2020,文科,汉语言文学,601
10593,2020,文科,新闻传播学类,601
10593,2020,文科,哲学,600
10593,2020,文科,公共事业管理,600
10593,2020,文科,外国语言文学类,600
10559,2020,理科,计算机科学与技术,647
10559,2020,理科,临床医学,645
10559,2020,理科,会计学,645
10559,2020,理科,光电信息科学与工程,644
10559,2020,理科,人工智能,643
10559,2020,理科,物联网工程,643
10559,2020,理科,网络空间安全,643
10559,2020,理科,电气工程及其自动化,642
10559,2020,理科,生物科学,641
10559,2020,理科,生物医学工程,641
10559,2020,理科,工业工程,641
10559,2020,理科,国际经济与贸易,640
10559,2020,理科,应用化学,640
10559,2020,理科,法学,639
10559,2020,理科,汉语国际教育,638
10559,2020,理科,风景园林,638
10559,2020,理科,生物制药,638
10559,2020,理科,财务管理,638
10559,2020,理科,商务英语,637
10559,2020,理科,土木工程,637
10559,2020,理科,药学,630
10559,2020,文科,会计学,620
10559,2020,文科,法学,618
10559,2020,文科,电子商务,618
10559,2020,文科,酒店管理,617
10559,2020,文科,历史学,614
10559,2020,文科,日语,614
