,id,majorName,year,minScore,categoryID_id,collegeID_id,c1,c2,college_loc,provinceLoc,cityLoc,adcode
0,0,计算机类,2020,622,2.0,10593,工学,计算机类,广西省南宁市,广西壮族自治区,南宁市,450100
1,1,数学类,2020,621,2.0,10593,理学,数学类,广西省南宁市,广西壮族自治区,南宁市,450100
2,2,机械类,2020,621,2.0,10593,工学,机械类,广西省南宁市,广西壮族自治区,南宁市,450100
3,3,土木工程,2020,620,2.0,10593,工学,土木类,广西省南宁市,广西壮族自治区,南宁市,450100
4,4,经济学类,2020,620,2.0,10593,经济学,经济学类,广西省南宁市,广西壮族自治区,南宁市,450100
5,5,材料类,2020,619,2.0,10593,工学,材料类,广西省南宁市,广西壮族自治区,南宁市,450100
6,6,工商管理类,2020,619,1.0,10593,管理学,工商管理类,广西省南宁市,广西壮族自治区,南宁市,450100
7,7,化学工程与工艺,2020,618,2.0,10593,工学,化工与制药类,广西省南宁市,广西壮族自治区,南宁市,450100
8,8,矿物资源工程,2020,618,2.0,10593,工学,矿业类,广西省南宁市,广西壮族自治区,南宁市,450100
9,9,轻工类,2020,618,2.0,10593,工学,轻工类,广西省南宁市,广西壮族自治区,南宁市,450100
10,10,建筑学,2020,618,2.0,10593,工学,建筑类,广西省南宁市,广西壮族自治区,南宁市,450100
11,11,法学,2020,601,1.0,10593,法学,法学类,广西省南宁市,广西壮族自治区,南宁市,450100
12,12,汉语言文学,2020,601,1.0,10593,文学,中国语言文学类,广西省南宁市,广西壮族自治区,南宁市,450100
13,13,新闻传播学类,2020,601,1.0,10593,文学,新闻传播学类,广西省南宁市,广西壮族自治区,南宁市,450100
14,14,哲学,2020,600,1.0,10593,哲学,哲学类,广西省南宁市,广西壮族自治区,南宁市,450100
15,15,公共事业管理,2020,600,2.0,10593,管理学,公共管理类,广西省南宁市,广西壮族自治区,南宁市,450100
16,16,外国语言文学类,2020,600,1.0,10593,文学,外国语言文学类,广西省南宁市,广西壮族自治区,南宁市,450100
17,17,计算机科学与技术,2020,647,2.0,10559,工学,计算机类,广东省广州市,广东省,广州市,440100
18,18,临床医学,2020,645,2.0,10559,医学,临床医学类,广东省广州市,广东省,广州市,440100
19,19,会计学,2020,645,2.0,10559,管理学,工商管理类,广东省广州市,广东省,广州市,440100
20,20,光电信息科学与工程,2020,644,2.0,10559,工学,电子信息类,广东省广州市,广东省,广州市,440100
21,21,人工智能,2020,643,2.0,10559,工学,电子信息类,广东省广州市,广东省,广州市,440100
22,22,物联网工程,2020,643,2.0,10559,工学,计算机类,广东省广州市,广东省,广州市,440100
23,23,网络空间安全,2020,643,2.0,10559,工学,计算机类,广东省广州市,广东省,广州市,440100
24,24,电气工程及其自动化,2020,642,2.0,10559,工学,电气类,广东省广州市,广东省,广州市,440100
25,25,生物科学,2020,641,2.0,10559,理学,生物科学类,广东省广州市,广东省,广州市,440100
26,26,生物医学工程,2020,641,2.0,10559,工学,生物医学工程类,广东省广州市,广东省,广州市,440100
27,27,工业工程,2020,641,2.0,10559,管理学,工业工程类,广东省广州市,广东省,广州市,440100
28,28,国际经济与贸易,2020,640,2.0,10559,经济学,经济与贸易类,广东省广州市,广东省,广州市,440100
29,29,应用化学,2020,640,2.0,10559,理学,化学类,广东省广州市,广东省,广州市,440100
30,30,法学,2020,639,1.0,10559,法学,法学类,广东省广州市,广东省,广州市,440100
31,31,汉语国际教育,2020,638,1.0,10559,文学,中国语言文学类,广东省广州市,广东省,广州市,440100
32,32,风景园林,2020,638,2.0,10559,工学,建筑类,广东省广州市,广东省,广州市,440100
33,33,生物制药,2020,638,2.0,10559,工学,生物工程类,广东省广州市,广东省,广州市,440100
34,34,财务管理,2020,638,1.0,10559,管理学,工商管理类,广东省广州市,广东省,广州市,440100
35,35,商务英语,2020,637,2.0,10559,文学,外国语言文学类,广东省广州市,广东省,广州市,440100
36,36,土木工程,2020,637,2.0,10559,工学,土木类,广东省广州市,广东省,广州市,440100
37,37,药学,2020,630,2.0,10559,医学,药学类,广东省广州市,广东省,广州市,440100
38,38,会计学,2020,620,2.0,10559,管理学,工商管理类,广东省广州市,广东省,广州市,440100
39,39,法学,2020,618,1.0,10559,法学,法学类,广东省广州市,广东省,广州市,440100
40,40,电子商务,2020,618,2.0,10559,管理学,电子商务类,广东省广州市,广东省,广州市,440100
41,41,酒店管理,2020,617,1.0,10559,管理学,旅游管理类,广东省广州市,广东省,广州市,440100
42,42,历史学,2020,614,1.0,10559,历史学,历史学类,广东省广州市,广东省,广州市,440100
43,43,日语,2020,614,1.0,10559,文学,外国语言文学类,广东省广州市,广东省,广州市,440100
44,183679,波斯语,2020,623,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
45,183715,阿拉伯语,2020,624,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
46,183716,朝鲜语,2020,624,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
47,183753,中国语言文学类(汉语国际教育、汉语言文学),2020,625,1.0,10036,文学,中国语言文学类,北京市,北京市,北京市,110000
48,183754,政治学类(国际政治、政治学与行政学),2020,625,1.0,10036,法学,政治学类,北京市,北京市,北京市,110000
49,183791,投资学,2020,626,1.0,10036,经济学,金融学类,北京市,北京市,北京市,110000
50,183814,意大利语,2020,627,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
51,183815,葡萄牙语,2020,627,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
52,183816,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,627,1.0,10036,管理学,工商管理类,北京市,北京市,北京市,110000
53,183817,保险学,2020,627,1.0,10036,经济学,金融学类,北京市,北京市,北京市,110000
54,183851,经济学类(国际经济与贸易、财政学、税收学),2020,628,1.0,10036,经济学,"财政学类,经济学类,经济与贸易类",北京市,北京市,北京市,110000
55,183889,日语,2020,629,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
56,183890,西班牙语,2020,629,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
57,183940,德语,2020,630,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
58,183941,金融学类(金融学(国际金融与市场)、经济与金融),2020,630,1.0,10036,经济学,金融学类,北京市,北京市,北京市,110000
59,183942,法学类(法学),2020,630,1.0,10036,法学,法学类,北京市,北京市,北京市,110000
60,184018,法语,2020,632,1.0,10036,文学,外国语言文学类,北京市,北京市,北京市,110000
61,184237,金融学,2020,637,1.0,10036,经济学,金融学类,北京市,北京市,北京市,110000
