id,majorName,year,minScore,categoryID,collegeID,provinceID
68,all,2019,685,2,10003,1
69,all,2019,655,1,10003,1
123,all,2018,670,1,10003,1
124,all,2018,688,2,10003,1
219,all,2017,673,2,10003,1
220,all,2017,662,1,10003,1
329,all,2019,648,1,10001,1
330,all,2019,684,2,10001,1
385,all,2018,666,1,10001,1
386,all,2018,687,2,10001,1
441,all,2017,647,1,10001,1
442,all,2017,672,2,10001,1
847,外国语言文学类,2019,658,2,10002,1
848,外国语言文学类,2019,635,1,10002,1
849,财政学类,2019,671,2,10002,1
850,法学,2019,677,2,10002,1
851,法学,2019,640,1,10002,1
852,工商管理类,2019,660,2,10002,1
853,工商管理类,2019,638,1,10002,1
854,国际政治,2019,658,2,10002,1
855,国际政治,2019,638,1,10002,1
856,金融学类,2019,673,2,10002,1
857,金融学类,2019,641,1,10002,1
858,经济学类,2019,670,2,10002,1
859,经济学类,2019,640,1,10002,1
860,理科试验班,2019,663,2,10002,1
861,人力资源管理,2019,660,2,10002,1
862,人力资源管理,2019,637,1,10002,1
863,人文科学试验班,2019,637,1,10002,1
864,社会科学试验班（管理学科类）,2019,658,2,10002,1
865,社会科学试验班（管理学科类）,2019,637,1,10002,1
866,社会学类,2019,658,2,10002,1
867,社会学类,2019,638,1,10002,1
868,新闻传播学类,2019,662,2,10002,1
869,新闻传播学类,2019,638,1,10002,1
885,金融学（中外合作办学）,2019,640,2,10002,1
886,金融学（中外合作办学）,2019,616,1,10002,1
1727,财政学类,2018,668,2,10002,1
1728,法学,2018,674,2,10002,1
1729,法学,2018,663,1,10002,1
1730,工商管理类,2018,669,2,10002,1
1731,工商管理类,2018,661,1,10002,1
1732,公共管理类,2018,667,2,10002,1
1733,公共管理类,2018,655,1,10002,1
1734,国际政治,2018,670,2,10002,1
1735,国际政治,2018,659,1,10002,1
1736,金融学类,2018,679,2,10002,1
1737,金融学类,2018,660,1,10002,1
1738,经济学类,2018,671,2,10002,1
1739,经济学类,2018,661,1,10002,1
1740,理科试验班（环境理工、环境经管）,2018,667,2,10002,1
1741,理科试验班（物理、化学与心理学）,2018,673,2,10002,1
1742,理科试验班（信息与数学）,2018,668,2,10002,1
1743,农业经济管理类,2018,660,1,10002,1
1744,人力资源管理,2018,668,2,10002,1
1745,人力资源管理,2018,658,1,10002,1
1746,人文科学试验班,2018,660,1,10002,1
1747,社会学类,2018,667,2,10002,1
1748,社会学类,2018,659,1,10002,1
1749,统计学类,2018,671,2,10002,1
1750,新闻传播学类,2018,668,2,10002,1
1751,新闻传播学类,2018,660,1,10002,1
1752,信息资源管理,2018,658,1,10002,1
1753,政治学、经济学与哲学（PPE实验班）,2018,670,2,10002,1
1772,金融学（中外合作办学）,2018,646,2,10002,1
1773,金融学（中外合作办学）,2018,639,1,10002,1
1774,绘画（加权成绩）,2018,571,1,10002,1
1775,设计学类（加权成绩）,2018,592,1,10002,1
2709,财政学类,2017,649,2,10002,1
2710,法学,2017,650,2,10002,1
2711,法学,2017,641,1,10002,1
2712,工商管理类,2017,648,2,10002,1
2713,工商管理类,2017,637,1,10002,1
2714,公共管理类,2017,639,2,10002,1
2715,公共管理类,2017,634,1,10002,1
2716,国际政治,2017,645,2,10002,1
2717,国际政治,2017,634,1,10002,1
2718,金融学类,2017,653,2,10002,1
2719,金融学类,2017,640,1,10002,1
2720,经济学类,2017,648,2,10002,1
2721,经济学类,2017,638,1,10002,1
2722,理科试验班（环境理工、环境经管）,2017,646,2,10002,1
2723,理科试验班（物理、化学与心理学）,2017,647,2,10002,1
2724,理科试验班（信息与数学）,2017,648,2,10002,1
2725,农业经济管理类,2017,632,1,10002,1
2726,人力资源管理,2017,645,2,10002,1
2727,人力资源管理,2017,636,1,10002,1
2728,人文科学试验班,2017,633,1,10002,1
2729,社会学类,2017,645,2,10002,1
2730,社会学类,2017,634,1,10002,1
2731,统计学类,2017,645,2,10002,1
2732,新闻传播学类,2017,646,2,10002,1
2733,新闻传播学类,2017,634,1,10002,1
2734,信息资源管理,2017,636,1,10002,1
2735,政治学、经济学与哲学（PPE实验班）,2017,654,2,10002,1
2736,政治学、经济学与哲学（PPE实验班）,2017,640,1,10002,1
2756,金融学（中外合作办学）,2017,619,2,10002,1
2757,金融学（中外合作办学）,2017,609,1,10002,1
2758,国民经济管理（中外合作办学）,2017,608,1,10002,1
2759,绘画(加权成绩),2017,562,1,10002,1
2760,设计学类(加权成绩),2017,507,2,10002,1
