本科专业类名称,收入,就业率
计算机类,6050,94.97
电子信息类,5480,92.87
自动化类,5239.33,93.4
金融学类,5036,90.9
仪器类,5019,90.77
电子商务类,5003,94.53
数学类,4903.67,92.2
安全科学与工程类,4896,93.4
交通运输类,4873.33,94.33
管理科学与工程类,4821.67,94.63
测绘类,4819,93.8
物流管理与工程类,4797,95.17
经济学类,4796.67,90.8
财政学类,4788,91.67
轻工类,4780.33,92.43
统计学类,4768,91.53
全国本科,4761.67,91.47
电气类,4729.33,95.53
机械类,4716.33,93.87
建筑类,4713,90.33
新闻传播学类,4712.33,92.93
外国语言文学类,4678,90.13
能源动力类,4673.67,95.27
设计学类,4654.67,92
材料类,4650.33,90.2
物理学类,4640,87.63
体育学类,4638,90.3
经济与贸易类,4613,91.13
戏剧与影视学类,4555,89.1
土木类,4539.33,92.7
公共管理类,4532,91.33
矿业类,4519.67,89.2
工商管理类,4511,92.53
化工与制药类,4499.67,91.27
音乐与舞蹈学类,4442.33,88.23
生物工程类,4423.67,89.5
生物科学类,4423.33,88.33
中国语言文学类,4410.33,89.57
环境科学与工程类,4394.67,92.27
医学技术类,4384.33,94.07
食品科学与工程类,4382.33,90.67
地质类,4368.33,86.03
地理科学类,4366.67,93.17
药学类,4348,92.2
护理学类,4324,95.17
美术学类,4314.33,85.43
社会学类,4297.33,89.17
化学类,4279.67,90.67
心理学类,4265,87.9
法学类,4262.33,85.43
旅游管理类,4257.33,92.6
马克思主义理论类,4155.67,87.33
纺织类,4141.33,90.57
历史学类,4057,86.17
临床医学类,4054,88.7
教育学类,3994.67,91.67
