collegeID,collegeName,project985,project211,top,provinceID_id
10001,北京大学,1,1,1,25
10002,中国人民大学,1,1,1,25
10003,清华大学,1,1,1,25
10004,北京交通大学,1,1,0,25
10006,北京航空航天大学,1,1,1,25
10007,北京理工大学,1,1,1,25
10008,北京科技大学,0,1,1,25
10009,北方工业大学,0,0,0,25
10010,北京化工大学,0,1,1,25
10011,北京工商大学,0,0,0,25
10013,北京邮电大学,0,1,1,25
10022,北京林业大学,0,1,1,25
10027,北京师范大学,1,1,1,25
10028,首都师范大学,0,0,1,25
10030,北京外国语大学,0,1,1,25
10033,中国传媒大学,0,1,1,25
10036,对外经贸大学,0,1,1,25
10043,北京体育大学,0,1,1,25
10054,华北电力大学,0,1,1,25
10112,太原理工大学,0,1,1,10
10126,内蒙古大学,0,1,1,34
10140,辽宁大学,0,1,1,18
10141,大连理工大学,1,1,1,18
10151,大连海事大学,0,1,1,18
10159,中国药科大学,0,0,0,18
10183,吉林大学,1,1,1,23
10184,延边大学,0,1,1,23
10200,东北师范大学,0,1,1,23
10213,哈尔滨工业大学,1,1,1,12
10216,燕山大学,0,0,0,17
10224,东北农业大学,0,1,1,12
10225,东北林业大学,0,1,1,12
10246,复旦大学,1,1,1,9
10247,同济大学,1,1,1,9
10248,上海交通大学,1,1,1,9
10251,华东理工大学,0,1,1,9
10255,东华大学,0,1,1,9
10269,华东师范大学,1,1,1,9
10270,上海师范大学,0,0,0,9
10271,上海外国语大学,0,1,1,9
10276,华东政法大学,0,0,0,9
10280,上海大学,0,1,1,9
10284,南京大学,1,1,1,4
10285,苏州大学,0,1,1,4
10286,东南大学,1,1,1,4
10287,南京航空航天大学,0,1,1,4
10288,南京理工大学,0,1,1,4
10291,南京工业大学,0,0,0,4
10294,河海大学,0,1,1,4
10295,江南大学,0,1,1,4
10304,南通大学,0,0,0,4
10307,南京农业大学,1,1,1,4
10319,南京师范大学,0,1,1,4
10327,南京财经大学,0,0,0,4
10335,浙江大学,1,1,1,13
10336,杭州电子科技大学,0,0,0,13
10337,浙江工业大学,0,0,0,13
10338,浙江理工大学,0,0,0,13
10357,安徽大学,0,1,1,28
10358,中国科学技术大学,1,1,1,28
10359,合肥工业大学,0,1,1,28
10384,厦门大学,1,1,1,19
10385,华侨大学,0,0,0,19
10386,福州大学,0,1,1,19
10389,福建农林大学,0,0,0,19
10403,南昌大学,0,1,1,11
10422,山东大学,1,1,1,16
10423,中国海洋大学,1,1,1,16
10459,郑州大学,0,1,1,1
10486,武汉大学,1,1,1,21
10487,华中科技大学,1,1,1,21
10488,武汉科技大学,0,0,0,21
10491,中国地质大学（武汉）,0,1,1,21
10504,华中农业大学,0,1,1,21
10511,华中师范大学,0,1,1,21
10512,湖北大学,0,0,0,21
10532,湖南大学,1,1,1,22
10533,中南大学,1,1,1,22
10542,湖南师范大学,0,1,1,22
10559,暨南大学,1,1,1,24
10560,汕头大学,0,1,0,24
10561,华南理工大学,1,1,1,24
10593,广西大学,0,1,1,29
10610,四川大学,1,1,1,33
10613,西南交通大学,0,1,1,33
10626,四川农业大学,0,1,1,33
10635,西南大学,0,1,1,27
10651,西南财经大学,0,1,1,33
10657,贵州大学,0,1,1,14
10697,西北大学,0,1,1,5
10698,西安交通大学,1,1,1,5
10701,西安电子科技大学,0,1,1,5
10710,长安大学,0,1,1,5
10730,兰州大学,1,1,1,30
10755,新疆大学,0,1,1,20
10759,石河子大学,0,1,1,20
11065,青岛大学,0,0,0,16
11078,广州大学,0,0,0,24
11413,中国矿业大学（北京）,0,1,1,25
11415,中国地质大学（北京）,0,1,1,25
11417,北京联合大学,0,0,0,25
20000,复旦大学医学部,1,1,1,9
106111,重庆大学,1,1,1,27
